temiz_metin,duygu_sinifi,duygu_skoru
"Esad'ın kaçtığı söyleniyor. Suriye'de gündem çok hızlı bir şekilde ilerliyor. 

Suriye'de son durum hakkında Abdulkadir Şen",negative,0.8769758343696594
"hocayla az önce bir zoom oturumu yaptık. 

Allah nasip ederse yarım saat sonra yüklenmiş olacak.",positive,0.8232569694519043
"Ne oldu yahu hani bunlar siyonistlerin belini kırıyordu ? İki üç torpil atıp İsraille barışmaya çalıştıktan sonra iş sünni kesmeye gelince aslan oldular.

Söylem :''Ümmetin vahdeti hüüü, biz kardeşiz'' 
Amel : ''Beşardan başka ilah yoktur'' diyenler için bile sünnilerle savaşmak",negative,0.9329190254211426
"Biz de tüm Batılılara ""Frenk"" demişiz aynı zamanlarda. Şimdi Fransızlar da bununla 31 mi çekmeli..

Hödük hödük herifleri kanaat önderi diye önümüze sunuyorlar. x.com/AltayCemMeric/…",negative,0.9909147024154663
"Tin'de Büyük Yıl Sonu Kampanyası

23-29 Aralık tarihleri arasında",positive,0.6899076700210571
"Şu hayatta kendinize yapabileceğiniz en iyi şey, her namaz sonrası tesbihat ve birer sayfa Kur'an-hadis virdi.

Hem damlaya damlaya göl oluyor, lim öğreniyorsun. Hem kalbin ferahlıyor. Hem namazının kalitesi artıyor.

Namaz kaliten arttığı için ahlakın da güzelleşiyor.",positive,0.9790756702423096
aracılığıyla,negative,0.6094844341278076
"Bu eserleri basarak ne umduğumuzu anlatmak gerekiyor:

1-Bir Din Olarak Evrim
Evrim her ne kadar sosyal sonuçlarına atıf yapıldığında ''salt bilimsel'' bir kuram olduğu iddia edilse dahi, her köşe başında kendisinden ahlaki, ontolojik, ideolojik çıkarımlar yapılmakta.

İngiliz",negative,0.9969160556793213
"10 tane kurancı varsa
2 tanesi tarihselci oldu 
1 tanesi ahitçi oldu
1 tanesi Hristiyan oldu
Geri kalanı da sünni oldu aq x.com/WHIP0fGOD/stat…",positive,0.591119110584259
"Merak etmeyin, kardeşlerimden birine rica ettim selefin tevil ettiği lafızları da toplatıyorum. Dağınık bir şekilde biliyorduk zaten ama sandığınızdan çok daha fazlalar.

Sahabeyi ve tabiunu cehmiyyeye nispet etmenizi izlemek keyifli olacak.",negative,0.9905096292495728
A-CEM'i Meriç'in ;,positive,0.9162602424621582
Ateizm an itibarıyla bitmiştir.,negative,0.9814712405204773
"gençlere yaptığı dini tebliğden saatlik 20 bin TL almaz"" demiştiniz. Programın organizatörü ile konuştum. Yeni ücreti 70 bin TL. Birlikte iş yaptığı insanlar para konusundaki aç gözlülüğünden o kadar bıkmış ki yardımcı oldular.",negative,0.9989538192749023
Dünyadaki “orada öyle demek istemeyen” tek kitap;,positive,0.9981099367141724
Yavuz Selim’ciğim İran’dan hoşlanmama kararını saygıyla karşılıyorum.,negative,0.9840038418769836
Ekran BağımlılığıAyrıcalıklardan yararlanmak için bu kanala katılın:https://www.youtube.com/channel/UCqJafeVIno1uSkmuWZtGKRw/joinAbone Ol ➦ https://www.youtu...,negative,0.9649175405502319
https://youtu.be/e2DBRj9u-8g?si=zUvcl32kL-oJeKp_…,positive,0.8511559367179871
Hasan Nasrallah'ın Suriye savaşına dahil olduğunu ilan ettiği açıklaması.,negative,0.8777585625648499
".                             Muslera
           Transfer - Davinson - Abdulkerim
                          (Metehan-Kaan)
Sallai                                                           Jacops
(Jellert)                                                     (Berkan)",positive,0.5088568329811096
"Seküler milliyetçi Bahadırhan Dinçaslan, Gazze'deki soykırımı aklamaya çalıştı.

""Bir festival basıldı. Ben, festival düzenlenebilen bir Ortadoğu istiyorum. Festival basan zihniyetin belinin kırılmasını olumlu bulurum.""",negative,0.9992826581001282
"Her halükarda gerekçelerinize saygı duyuyorum. Ancak 2.Maddeyi şerhetmek gerekiyor ki maksadım anlaşılsın: 

Konunun dışardan insanlara kapalı münazara edilmesinin daha uygun olacağını düşünüyordum. Bu yüzden bir hoca arkadaşım vesilesi ile iletişime geçtim.

Halen de tüm",negative,0.9396066665649414
"Dün münazara üzerine çektiğim videoya, yeterince anlaşılmadığını düşünmem üzerine bugün bir şerh yaptım. Umarım faydalı olur.

Allah Gökte midir ? || Şerh",negative,0.6303526163101196
“Musa Ebu Cafer de kafir sen de kafirsin ben de kafirim hepimizi tekfir ediyorum Allah’a hamdolsun”,negative,0.8421446681022644
@OmerfarukKorkmz,negative,0.7438911199569702
"50 kg insan kabinde uçarken 20 kg köpek neden uçak altında, buz gibi ve karanlık kargoda uçmak zorunda? Mantık???",negative,0.9594314098358154
#Sondakika,positive,0.9820516705513
"İşin aslı belli yıllar arasında Türk intelijansiyası içerisinde köşe yazısı tadında yazmayan adam bulmak zordur. Şuraya öylesine attığımız bazı twitler 80'lerde kitap olsa sanırım insanlar ''wouw'' olurdu. Türkiye kültürü yavaş yavaş dirilen bir ülke bunu unutmamak lazım.

Burada",positive,0.9601519107818604
"Peki Esed'in düşmesi şerefine :  

100 Kişiye şu iki kitabı birlikte hediye edeceğim:

1-Öğrenmeyi Öğrenmek 
2-Tin'den bu ay içinde çıkacak olan Riyazu's Salihin  

Kargolar ay sonuna doğru çıkacak. Sonucu 2 gün sonra açıklayacağım.

Twiti beğenmek yeterli.",positive,0.9542039036750793
"Delil getirdiğiniz ayetlerin bu konuya bizce kati delaleti yok. Kıssa da bizce aleyhinize delildir.

İhtilaf edilen ve delil istenen soru budur. Bu soruda Zeydin müşrik olacağına dair kati delil getirirseniz inceleyebiliriz.

İsterseniz yazılı, isterseniz münazara şeklinde.",negative,0.9723315834999084
"-Allah mekandan münezzehtir.(Müsellem)
-“Allah mekandan münezzehtir ama göktedir, semadadır. Bir şeyin üstündedir”

İkisini birlikte söyleyen birisi zaruri olarak :

-“Sema, yukarı ve gök mekan değildir.” Demelidir.

Bu ise akıl, dil ve sağduyu ile çatışmadan söylenemez. Sema,",negative,0.8256857991218567
"Kuhn'un ilk kitabı daha meşhurdur ancak bence ikincisi daha faydalı. Soyut anlattığı şeyi somut bir numune üzerinde müşahede ediyorsunuz.

Bu iki eseri de ders yapacağız. Sonra genele bir özet de atarız muhtemelen. Feyerabend ve Popper diye devam ederiz inşallah.",positive,0.530575156211853
Ayasofya neden cami oldu ? || Örfle Didişmek.,negative,0.9974830746650696
Şah İsmail : İrancı değilim kardeşim ama mezhepçilik yapıyorsunuz.,negative,0.9085817337036133
"Din çoğu insan için kendisini hakikatin merkezine alıp, başkalarını kolayca yaftalamasını, karalamasını, harama ve küfre nispet etmesini sağlayan bir araçtır.

Aslında bu tavrı ile her dindarın patronu ve hatta Rabbi olur. Bu softalığın altında dindarlık yatmaz.

Bu insanların",negative,0.9303207993507385
@YouTube,positive,0.9855871200561523
"Sosyal Darwinizm diye bir şey hiç olmamış gibi çek. Tam olarak klise refleksi bu : ''Tenkid ediyormuş gibi görünen bir kitap nasıl basılabilir ?''

Neyse siz kızdıysanız muhtemelen güzel kitaptır. En iyisi okuyup tahlil edeyim.",negative,0.9960623383522034
"Deizm entelektüel olarak teizmden daha zordur. Çünkü felsefi bir pozisyon değildir. Psikolojik bir pozisyondur. Daha korkak bir ateizmdir.

Dücane CÜNDİOĞLU",negative,0.996959924697876
Aranızda bazı cehmiler görüyorum ayağınızı denk alın.,negative,0.9413580298423767
"Ama komplocu İrancı kardeşler bize muhalifler İsrail'e çalışıyor. İran ve yancısı Esed, İsrail'e karşı savaşıyor diyorlardı ?",negative,0.8463631272315979
"Halep’in sünni Türkmenlerini, Nusayri(Arap alevisi) Esad öldürdü.",negative,0.9890077114105225
"Söz içinde kıyas kullandığınızda, kıyası bir maymuna anlatır düzeyde açıklamalısınız ki bu cins anlayabilsin :  

Fransada ''Hem hristiyan hem fransız olamazsınız Türkler gibi olmalıyız'' diyen olursa Hristiyan bir Fransız ''Türklerin diline bile Hristiyanla eş anlamlı olarak",positive,0.5404254794120789
"Suriye’de bu çocuklar ölürken Siyasal Alevicilerde tık yoktu. 

Lazkiye’de göbek atan Nusayrilerin videolarını paylaşarak “Suriye süper durumda” diyorlardı.",negative,0.9746128916740417
Bu doğum oranları gerçek bir beka sorunudur. Bununla ilgili video da yapacağım. Şu tablonun tüyleri diken diken etmesi lazım.,negative,0.9700947403907776
Şu şekil yönetemeyeceksen neden bir yayın evin olsun ki ?,negative,0.7410526871681213
"Sultan-ı Şehid Alparslan :
-Türk, müslüman ve sünnidir.

(Siyasetnamede onun ağzından bizzat Nizamülmülk naklediyor.)",negative,0.7285293340682983
"İran Dini Lideri Hamaney: 

Suriye'de yaşananlarda önemli rol oynayan ve buna hala devam eden bir komşu ülke var.",negative,0.7710195183753967
"Genç kardeşlerim, dinini öğrenmek isteyen güzel Müslümanlar! Altay Cem Meriç, tabir yerindeyse güzel bir prototip. Ahlakilik ve vakardan nasibini almadan çok kitap okuyarak -daha doğru ifadeyle kelimeleri gözden geçirerek!- nitelikli İslâmî tahsilin baskın olmadığı Müslüman",negative,0.9984145164489746
Özellikle ikincisi temel fizik tarihine uzak olanlar için biraz zor bir eser olabilir. Batlamyusu en azından temel düzeyde biliyor olmak lazım.,negative,0.9967300891876221
Memlekette ne kadar çok İrancı varmış değil mi kardeş ? Hem de çoğu öyle sempatizan filan bile değil Esed savunacak kadar İrancıymış.,positive,0.935042142868042
"Irak'taki Şii Haşdi Şabi milislerinin Suriye'ye geçmek için hazırlık yaptığı görüntüler paylaşıldı.

Hazırlık yapan grubun başında ise Ebu Azrail lakabıyla bilinen Eyüp Falih el Rubayi bulunuyor.",negative,0.8161797523498535
"''%10'luk azınlığın keyif sürmesi %90'ın yaşadığı tüm zulümlere değer'' demek istemiş

Lafa gelirse halkçılık. Türkiye'de sağ soldur, sol sağdır diyen haklıydı

Biri eline fırsat geçirip bizi kör testere ile kesse ''ama plajda bikinili kadınlar var'' diye onu da meşrulaştırırlar x.com/HayriKozanoglu…",negative,0.6777753233909607
Altay Cem Meriç,negative,0.9956670999526978
"Çocuk etrafımızda dolaşıp oraya buraya çağırdığında da ACM şaka yapıyordu.

Kaçtır aynı terbiyesizliği yapıyorsun canımızı sıkma. Senin gibi softaların kutsal bilgeler pozunda riyakar tavırlarını dindarlık görmeyi bırakalı çok oldu hamdolsun.

İlim delildir. Delil de kimden gelse",negative,0.9945859909057617
"''Kale aharun'' yani diğerleri dediler ki : 

Burada Taberi Murat beyin söylediği görüşün zıddını söyleyen bir kişiden söz etmeyi bırakın, görüşü bir topluluğa nispet ederek naklediyor.",negative,0.9481873512268066
16 yaşında Berketaysu : ''Alparslan Türk değildir. Araplaşmış.'',negative,0.6965683698654175
"Yau kardeşler twitter favları gizliye aldığı için çekiliş siteleri favla çekiliş yapamıyormuş.

Mecburen rt üzerinden yapacağım. Bu geceye kadar dahil olmak isteyen rt yapsın. Yarın da açıklayalım.",positive,0.9775570631027222
"İstemiyorum. İcardi-Osimhen-Dybala'lı bir 11 yok. Bu takımın gol atma problemi de yok.

Bir stoper, Mertens'i bu sene rahatlatacak seneye yerine oynayacak bir oyuncu alın yeter.

Bu takımda daha fazla Sallai-Rashica tarzı oyuncu görmek istiyorum. Ziyechlere Zahalara karnım tok.",negative,0.9986492991447449
"Andolsun ki sözlerini onlara soracak olsan: “Lafa dalmış, eğleniyorduk.” diyeceklerdir. De ki: “Allah’ı, ayetlerini ve Resûl’ünü mü alaya alıyorsunuz?” (9/Tevbe, 65)",negative,0.7095406651496887
Şam devlet televizyonu yayınları kesildi,negative,0.9824338555335999
Eskiden -4 dereceler bu kadar soğuk değildi. Halı saha yaptım yüz felci geçiriyorum resmen,negative,0.99852055311203
Geçen gün Nato'da bir makale gördüm. Türkiye'nin en iyi yemeği etli ekmekmiş (kendinden emin),positive,0.9662356972694397
"Not : Türklere sürekli ve pervasızca hakaret eden, ama buna rağmen bir cenah tarafından ısrarla savunulan Celal Şengör kendi beyanı ile Türk değildir. 

Etnisitesi hakkında kısa bir araştırma ile kolaylıkla fikir sahibi olunabilir. 

Bir Suriyeli sokak röportajında dahi Türk",negative,0.9788098335266113
"Filistin için bilmem ne genç oluşumunun bunca katliam ve işkence için yaptığı bir açıklama oldu mu? Olmaz, olamaz. Bu işler böyle dostlarım, yerseniz.",negative,0.9959636926651001
"Kati delil denilince pek anlaşılmıyor ;

Okuma yazma ve dil bilmeyen aptal bir Çinli müslüman olabilir mi ?
El Cevap ; Evet.

O halde akidenin esasına dair kati delil onun anlayabileceği bir delil olmalı.

Dile dayalı olmamalı, zekaya dayalı olmamalı, Kur’an okuması bile lazım",positive,0.551023006439209
"Bu kitabın okumasını ben yaptım. Şia tarihi açısından bence Türkçe’deki en güzel eserdir.

Kitap Sahabe döneminden Safevilere kadar olan dönemi inceliyor. Merkeze Şia’nın iddiaları ve bunların tarihi gerçekliğinin sorgulanmasını alıyor.

Türkçe’de mezhepler tarihi kitaplarının",positive,0.9801591634750366
"İbrahim Kaya hocayla az önce zoom üzerinden bir oturum yaptık. Rivayet hakkında görüştük.

Ben videoda anlattığım gibi rivayetin seneden mevkuf-merfu olma ihtimali üzerinde tevakkuf ettiğimi ve benim metnen tevili gerektiği için mevkuf olduğu kanaatine yakın olduğumdan bahsettim.",negative,0.8706044554710388
"Elhamdulillah ki şu beğenmedikleri üsluba sahibim. Bizim çalıştığımız konuları çalışan iki tip adam vardır :

1-Dindar bilinç narası atan gibi (ben felsefe konuşuyorum elitim hım hım hım)
2-Ben kutsal bir şeyim ona göre (ben din konuşuyorum hım hım hım)

Yahu normal bir adam",negative,0.9981334805488586
"Çekiliş!

3 takipçimize Tin Yayınlarının tüm eserlerini hediye ediyoruz.

Yapmanız gerekenler:
-Bu gönderiyi rt’lemek
-Bu gönderiyi beğenmek 
-Tin Yayınları hesabını takip etmek

Çekiliş 7 Kasım Perşembe akşamı sona erecektir.",positive,0.9934731125831604
"''%10'luk azınlığın keyif sürmesi %90'ın yaşadığı tüm zulümlere değer'' demek istemiş

Lafa gelirse halkçılık. Türkiye'de sağ soldur, sol sağdır diyen haklıydı

Biri eline fırsat geçirip bizi kör testere ile kesse ''ama plajda bikinili kadınlar var'' diye onu da meşrulaştırırlar",negative,0.7201040983200073
"İlk günden beri şu çocuğun arkasında durduğum için öyle mutluyum ki.

Anadolu evladına ''Kendin gibi olduğun için salyalarla saldırıyor olsalar dahi, kendini ve hislerini gizlemene gerek yok.'' mesajını vermesi dahi çok büyük şey.

Şu temsili 100 kitaba değişmem.",positive,0.9944348931312561
https://youtu.be/yaYs4fTdzf0?si=2v5gu5H7Qn4zm9vC…,positive,0.9388919472694397
Soru - CevapAbone Ol ➦ https://www.youtube.com/c/AltayCemMeric?sub_confirmation=1 Biraz kendimizden bahsedecek olursak ; Ben Altay Cem Meriç 29 yaşındayım tı...,negative,0.6284785270690918
"Alıntılara bakınca hadi okuduğunu anlama zayıf, alıştık diyelim. Olm bunlar dinlediklerini de anlayamıyorlar.

Şunun bir tık altı “otur, gel, git” gibi komutları anlayamamak.",negative,0.9919866323471069
"Yeni-ateistler tarafından “sen gerçek ateist olamamışsın” şeklinde ateizmden tekfir edilmem
VS
19.cular tarafından tekfir edilmem.

Diğer tekfirler çıtır çerez niyetine aldığımız altlık sayılır.",negative,0.9819269776344299
"İnsafsız adamlardan uzak durmak lazım.

Efendimiz müşrik birinde dahi fazilet olduğunda bunu ifade ederdi. Zeki olanına zeki, adaletli olanına adaletli derdi.

İnsafsızlık hadiste belirtilmiş bir nifak alametidir. İnsafsız aklı ile değil nefsi ile konuşur.",negative,0.992615818977356
Zındık yeniden din mi inşaa edeceksin ? O hadis sahih değil sahabeden gelen bu kavil doğru değil gidip ateist olsana. Madem bu din böyle bunca yıldır bu ihtilaf neden ? Bütün ümmet senin gibi bir ateistin müslüman olup daha sonra zındıklığınla dini çözmeni mi bekliyordu ? x.com/AltayCemMeric/…,negative,0.995834469795227
"Muhammed Yazıcı hocayı konuk aldık. Umarım faydalı olur.

Muhammed Yazıcı || Münazara, Mantık ve Tercüme",positive,0.8761455416679382
"Taner hocam 8-9 dakikasını siz paylaştınız diye izledim. Bu kanalı pek takip etmiyorum ama bildiğin EvrimHanem videosu bu.

Dümdüz vaaz metni bu. Komplex sistemlerin basite indirgenmesi itirazını hala morfoloji ile geçmeye çalışıyor. Göz gibi bir organı morfoloji üzerinden",negative,0.9845949411392212
"Afedersiniz ama;

1- Sözlerinize sizin ya da kitlenizin ikna olması muhatabınızı ilzam ettiğinizin ölçüsü değildir. Elbette bu bizim içinde geçerlidir. Önemli olan en doğru sözü söyleyebilme gayretidir. Takdir elbette Allahu Teala’nındır.

2- Yusuf (as)’ın kıssasından getirilen x.com/AltayCemMeric/…",positive,0.9779304265975952
Batshuai takım seviyesinin bir tık altında kaldı. Bence rotasyon için Haaland'ı almalıyız.,negative,0.9986020922660828
"''Madem delille bilmek gerekiyor Big-Bang'i delille mi biliyorsun''

Yau 14 dk video çekiyoruz yemin ediyorum anlayacakları seviyeye indirmek için 3 saat konuşmak gerekiyor. 

Her seferinde öyle saçma sapan itirazlar görüyorum ki şok oluyorum. 

Bir şeyi bilmek ile kabul etmek",negative,0.9088754057884216
IŞID'ın korkulu rüyası gölge komutan...,negative,0.9100385308265686
''Ben hiç kitap okumadım.'' demek için ilginç bir yöntem.,negative,0.8124772310256958
Kardeş sözüyle ümmetin vahdetine işaret etmiş oldum,negative,0.9422735571861267
Bence ben haklıyım arkadaşlar,positive,0.9817109107971191
"Israeli Chief of General Staff, Lieutenant General Herzi Halevi speaking earlier today to Recruits of the Golani Brigade, “The IDF is fighting in Four Arenas - in Judea and Samaria, in Gaza, in Lebanon and starting tonight also in Syria. In a moment it will be yours.”",positive,0.995385468006134
"Yeni Baskı: “Öğrenmeyi Öğrenmek” 

Tin Yayınlarının ilk eseri olan, Altay Cem Meriç’in (",negative,0.9878316521644592
Hoca ve,positive,0.7626403570175171
Kardeşler Esed düşerse dediysek takılıp düşme gibi bir şeyi kastetmiştik. Sözlükte bu anlama da gelebilir.,positive,0.6894709467887878
"Bazı insanlarda öyle bir bereketsizlik var ki şu anı konuşsa yaşayan müslümanlarla çatışıyor. Geçmişi konuşsa eskideki müslümanlarla kavga ediyor.

Ben kendi içimde, bir insanda böyle bir bereketsizlik görünce ''niyetinde kusur olmasa böyle nasipsiz olmazdı'' diye düşünürüm.",negative,0.9848811626434326
"Kevseri merhumun sadece Tenibu'l Hatib kitabında gördüğüm ilim, tüm selefilerde gördüğümün toplamından fazladır. 

O günün imkanıyla yüzlerce sayfa haberi ravi ravi incelemek... Ben okuyunca respect çekmiştim. Bugünkü imkanlarla bile böyle eserler kolay kolay yazılmıyor.

Mürted",negative,0.9932860732078552
"Davetiniz için teşekkür ediyor ancak üç gerekçeyle icabet etmeyeceğimi belirtmek istiyorum.

1. Ömer Faruk Hoca ile yaptığımız oturumun sonunda şu noktanın altını çizmiştim: Bugüne kadar kimseye münazara teklif etmedim, yapılan teklifleri de kabul etmedim. İlk defa Cübbeli Ahmet, x.com/AltayCemMeric/…",negative,0.9934334754943848
Kıyasın illeti olarak kiloyu seçmiş ahhaha,negative,0.8760079145431519
"1-İmamet/Hilafet meselesi başlıklı münazara ile bu bahanelerin ne alakası var ? Madem haklısınız ve biz batılız oturur gösterirsiniz. 

2-Bizi hiç mi sevmediniz ? E ne güzel, bizi ilzam ettikçe daha fazla keyif alırdınız.

3-Propaganda yaparken ''Şianın doğru olduğunu ehli sünnet",negative,0.9789389371871948
Şu an da İrancılara göre bu şebbihaların yenilmesine sevinmek siyonizmi desteklemek demekmiş.,negative,0.926128089427948
"Keyiflendim size de duyurayım. Yayınevinde 2025’te çok güzel işler olacak inşallah.

Hanefi usulü, İslam felsefesi, Evrim, Şia, Bilim felsefesi hakkında çokça kitap gelecek. 

Bunun dışında spesifik konulara dair güzel kitaplar aldık. Bir kısmı matbada bir kısmı mizanpajda, bir",negative,0.7006104588508606
''Allah da benimle aynı fikirde''Ayrıcalıklardan yararlanmak için bu kanala katılın:https://www.youtube.com/channel/UCqJafeVIno1uSkmuWZtGKRw/joinAbone Ol ➦ h...,positive,0.9922866821289062
"Evet hocam Allah’tan sizin gibi uzmanlarımız var. Hatalarımızı düzeltiyorlar.

Laf aramızda o program cevami’ul kelim değil mektebetu’ş şamile. Kitap da Camiu’l Kamil, şu aşağıdaki eserdir.. 

Uzman kanaatleriniz için teşekkür ederim. İstifade ettik.",positive,0.9205599427223206
Bu da benim hayatım || Altay Cem Meriç Kimdir ?Ayrıcalıklardan yararlanmak için bu kanala katılın:https://www.youtube.com/channel/UCqJafeVIno1uSkmuWZtGKRw/jo...,positive,0.9288040399551392
"Sakin ol yahu. Söylediklerime cevabın varsa yaz, yoksa bana lakap takmaya çalışarak olmaz o iş.

Ayrıca hadi ''felsefik söylem''i bir nebze anladım ama ''kelamik söylemler''den sonrasını okuyamadım. 

Akli fonksiyonlarım sadece ''kelamik söylemler'' ibaresinden %5 damage aldı.",negative,0.9981288313865662
"Akıl dinde temel bir asıldır. Nasstan tüm delillerin temeli akla dayanır. Bu tartışılan bir konu dahi sayılmaz.

Buna itiraz eden akıl kullanmadan itiraz edemeyeceği için kanaati çelişkili ve batıldır.

İslam batıl olmadığı için itiraz edenin batıl görüşü İslami de değildir.",positive,0.5699922442436218
"YouTube’a yazabilirdin hocam yahu:

Göz Nasıl Evrimleşti?",positive,0.9821919798851013
"Siyonistler sanıldığı kadar zeki değiller. Güç budalası bir şekilde işin nereye gittiğini anlayamıyorlar. 

Şu Gazzelilerin Siyonistlerin köleleştirdiği tüm dünyaya üflediği ruhu anlayamıyorlar.

Cesaret bulaşıcıdır. Gazzeliler çok insana kölece bir yaşamın yanında şerefli bir",negative,0.9979115128517151
